物品ID,名字,描述(31汉字),物品详细描述（127汉字）,物品类型描述,物品栏图片,物品栏图片,物品栏图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,为1表示：物品不可以丢弃销毁,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,生活材料描述
80576,巨人之盾,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上衣服上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]基础防御＋8【套卡效果：2级泰坦壁垒—需要卡片“巨人之盔”】#★  2级泰坦壁垒：英雄原地不移动时会自动增加40【龙战为80】各类型防御。#★  [a]封印技能7级可以封印[/],卡片,57045,57045,57045,2,3,1,8002,0,,0,0,,,,,155952,155952,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到7级时可以制造该卡片
80577,巨蝎神的左钳,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上武器上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]各类型攻击＋12【套卡效果：3级巨蝎重击—需要卡片“巨蝎神的右钳”】#★  3级巨蝎重击：普通攻击10%几率【沙王为30%】对目标造成额外200点伤害。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,1518600,1518600,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80578,巨蝎神的右钳,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上武器上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]基础防御＋12【套卡效果：3级巨蝎重击—需要卡片“巨蝎神的左钳”】#★  3级巨蝎重击：普通攻击10%几率【沙王为30%】对目标造成额外200点伤害。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,1518600,1518600,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80579,瘟疫之灾的黎明,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上披风上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]各类型攻击＋1.5%【套卡效果：3级瘟疫散播—需要卡片“瘟疫之灾的黄昏”】#★  3级瘟疫散播：技能攻击有10%几率【剧毒为30%】给周围5格范围内的敌人散播瘟疫。瘟疫伤害为60点每秒，持续3秒，并且降低10%移动速度。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,1138950,1138950,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80580,瘟疫之灾的黄昏,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上披风上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]基础防御＋12【套卡效果：3级瘟疫散播—需要卡片“瘟疫之灾的黎明”】#★  3级瘟疫散播：技能攻击有10%几率【剧毒为30%】给周围5格范围内的敌人散播瘟疫。瘟疫伤害为60点每秒，持续3秒，并且降低10%移动速度。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,1138950,1138950,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80581,泰坦之盔,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上衣服上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]生命＋1.5%【套卡效果：3级泰坦壁垒—需要卡片“泰坦之盾”】#★  3级泰坦壁垒：英雄原地不移动时会自动增加60点【龙战为100】各类型防御。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,971904,971904,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80582,泰坦之盾,封印所需卡片,★  [a]用途：[/]可以封印在[255:0:255]三档或三档以上衣服上[/]#★  [a]获取：[/]分解技能制造#★  [a]说明：[/]基础防御＋12【套卡效果：3级泰坦壁垒—需要卡片“泰坦之盔”】#★  3级泰坦壁垒：英雄原地不移动时会自动增加60点【龙战为100】各类型防御。#★  [a]封印技能14级可以封印[/],卡片,57045,57045,57045,3,3,1,8002,0,,0,0,,,,,971904,971904,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,获取方法：装备分解技能达到14级时可以制造该卡片
80585,士气,士气,★  [19:214:3]士气[/],士气,104171,104171,104171,,3,1,0,0,,0,0,,,,,0,0,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80586,小雪块,活动道具,★  [a]用途：[/]堆积雪人身体最主要的材料#★  [a]获取：[/]雪人活动产出,活动道具,104648,104648,104648,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80587,雪人帽子,活动道具,★  [a]用途：[/]为雪人堆上一个可爱的帽子#★  [a]获取：[/]雪人活动产出,活动道具,104643,104643,104643,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80588,雪人围巾,活动道具,★  [a]用途：[/]为雪人戴上围巾#★  [a]获取：[/]雪人活动产出,活动道具,104642,104642,104642,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80589,雪人扫帚,活动道具,★  [a]用途：[/]雪人的武器，一把拥有魔力的扫帚#★  [a]获取：[/]雪人活动产出,活动道具,104645,104645,104645,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80590,雪人灵魂,活动道具,★  [a]用途：[/]构成雪人脸部的主要材料#★  [a]获取：[/]雪人活动产出,活动道具,53037,53037,53037,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80591,雪之灵,活动道具,★  [a]用途：[/]堆积大雪人的必须材料#★  [a]获取：[/]雪人活动产出,活动道具,104644,104644,104644,1,3,1,0,0,0,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80592,毒蘑菇,任务物品,,任务道具,57053,57053,57053,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80593,紫水晶,任务物品,,任务道具,53054,53054,53054,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80594,被抢走的农车,任务物品,,任务道具,104123,104123,104123,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80595,伐木工具,任务物品,,任务道具,57079,57079,57079,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80596,丢失的渔桶,任务物品,,任务道具,53022,53022,53022,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80597,紫罗兰,任务物品,,任务道具,52011,52011,52011,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80598,装雷管的箱子,任务物品,,任务道具,57043,57043,57043,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80599,晶铁,任务物品,,任务道具,52023,52023,52023,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80600,奇异果,任务物品,,任务道具,52005,52005,52005,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80601,魔力徽章,任务物品,,任务道具,66015,66015,66015,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,50,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80602,弹药箱,任务物品,,任务道具,1155,1155,1155,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80603,巨蜥的牙齿,任务物品,,任务道具,1153,1153,1153,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80604,蝗虫的尖牙,任务物品,,任务道具,1159,1159,1159,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80605,乌桑的便当盒,任务物品,,任务道具,1150,1150,1150,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80606,陈年龙舌酒,任务物品,,任务道具,1161,1161,1161,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80607,总督的推荐信,任务物品,,任务道具,50004,50004,50004,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80608,疯长的野草,任务物品,,任务道具,1157,1157,1157,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80609,蝴蝶的翅膀,任务物品,,任务道具,1160,1160,1160,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80610,巨蜥的皮,任务物品,,任务道具,1154,1154,1154,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80611,米奥的首饰盒,任务物品,,任务道具,1162,1162,1162,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80612,米奥的求婚戒指,任务物品,,任务道具,1156,1156,1156,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80613,赫芭拉的匕首,任务物品,,任务道具,1158,1158,1158,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80614,天火的火核,任务物品,,任务道具,40046,40046,40046,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80615,鼹鼠的尾巴,任务物品,,任务道具,1163,1163,1163,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,100,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80616,二档灵魂石碎片,特殊道具,★  [a]用途：[/]收集50个二档灵魂石碎片后，可以在主城灵魂石导师处换取“二档灵魂石”#★  [a]获取：[/]灵魂石活动#★  联邦灵魂石导师在主城中的坐标（45，196）#★  帝国灵魂石导师在主城中的坐标（66，185）,特殊道具,104721,104721,104721,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80617,三档灵魂石碎片,特殊道具,★  [a]用途：[/]收集50个三档灵魂石碎片后，可以在主城灵魂石导师处换取“三档灵魂石”#★  [a]获取：[/]灵魂石活动#★  联邦灵魂石导师在主城中的坐标（45，196）#★  帝国灵魂石导师在主城中的坐标（66，185）,特殊道具,104722,104722,104722,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80618,四档灵魂石碎片,特殊道具,★  [a]用途：[/]收集50个四档灵魂石碎片后，可以在主城灵魂石导师处换取“四档灵魂石”#★  [a]获取：[/]灵魂石活动#★  联邦灵魂石导师在主城中的坐标（45，196）#★  帝国灵魂石导师在主城中的坐标（66，185）,特殊道具,104723,104723,104723,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80619,五档灵魂石碎片,特殊道具,★  [a]用途：[/]收集50个五档灵魂石碎片后，可以在主城灵魂石导师处换取“五档灵魂石”#★  [a]获取：[/]灵魂石活动#★  联邦灵魂石导师在主城中的坐标（45，196）#★  帝国灵魂石导师在主城中的坐标（66，185）,特殊道具,104724,104724,104724,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80620,六档灵魂石碎片,特殊道具,★  [a]用途：[/]收集50个六档灵魂石碎片后，可以在主城灵魂石导师处换取“六档灵魂石”#★  [a]获取：[/]灵魂石活动#★  联邦灵魂石导师在主城中的坐标（45，196）#★  帝国灵魂石导师在主城中的坐标（66，185）,特殊道具,104725,104725,104725,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80621,超级VIP卡,特殊道具,★  [a]用途：[/]增加浮空岛进入次数的道具#★  [a]获取：[/]在云游商人处购买#★  [a]拉锯浮空岛[/]：每天最多可用2次#★  [a]防守浮空岛[/]：每天最多可用2次★  [a]说明：[/]每天全额奖励次数用完后，进入浮空岛时会自动使用，高档浮空岛每次消耗多张,特殊道具,1674,1674,1674,2,3,1,5042,0,,0,0,,,,,2500,3500,0,,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80622,银砂,任务物品,★  [a]用途：[/]可在银砂商人处兑换水晶币和增益状态，水晶币每天能兑换10次#★  [a]获取：[/]塔夫的矿井怪物掉落#★  [a]说明：[/]银砂商人在塔夫的矿井坐标：67，124,任务道具,104736,104736,104736,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80623,金砂,任务物品,★  [a]用途：[/]可在金砂商人处兑换经验和增益状态，经验每天能兑换10次#★  [a]获取：[/]塔夫的矿井怪物掉落#★  [a]说明：[/]金砂商人在塔夫的矿井坐标：189，246,任务道具,104735,104735,104735,0,3,1,0,0,,0,0,1,1,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80624,三档金属矿场建设图纸,三档金属矿场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档金属采集场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为金属矿场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104280,104280,104280,3,3,1,8008,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80625,三档水晶矿场建设图纸,三档水晶矿场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档水晶采集场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为水晶采集场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104277,104277,104277,3,3,1,8008,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80626,三档伐木场建设图纸,三档伐木场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档伐木场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为伐木场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104275,104275,104275,3,3,1,8008,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80627,三档药场建设图纸,三档药场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档药场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为药场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104279,104279,104279,2,3,1,0,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,0,0,0,0,,,,,,,,,0,,,,,,
80628,三档牧场建设图纸,三档牧场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档牧场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为牧场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104278,104278,104278,3,3,1,8008,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80629,三档农场建设图纸,三档农场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]三档农场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入3档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为农场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104276,104276,104276,3,3,1,8008,0,0,0,0,,,,,6665,6665,0,70,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80630,四档金属矿场建设图纸,四档金属矿场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档金属采集场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为金属矿场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104280,104280,104280,4,3,1,8009,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80631,四档水晶矿场建设图纸,四档水晶矿场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档水晶采集场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为水晶采集场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104277,104277,104277,4,3,1,8009,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80632,四档伐木场建设图纸,四档伐木场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档伐木场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为伐木场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104275,104275,104275,4,3,1,8009,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80633,四档药场建设图纸,四档药场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档药场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为药场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104279,104279,104279,2,3,1,0,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,0,0,0,0,,,,,,,,,0,,,,,,
80634,四档牧场建设图纸,四档牧场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档牧场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为牧场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104278,104278,104278,4,3,1,8009,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80635,四档农场建设图纸,四档农场建设图纸,★  [a]用途：[/]把空地建设为[255:0:255]四档农场[/]的图纸#★  [a]获取：[/]商城出售#★  [a]说明：[/]进入4档资源采集区，按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]土地租用[/]标签→点[255:0:255]其中未建设的空地[/]后面的[255:0:255]租用[/]按钮→与土地对话选择[255:0:255]建设[/]按钮→在弹出的[255:0:255]建设土地选择[/]中选择[255:0:255]建设为农场[/]，建设成功后点击土地就可以进入。#★  [45:238:23]特别提醒：土地资源采集场都有保护机制，即便服务器维护时也不受影响，土地使用时间和资源总数不会减少，再进游戏时会自动继续[/],生产建设图纸,104276,104276,104276,4,3,1,8009,0,0,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,0,0,0,,,,,,,,,0,,,,,,
80636,四档土地契约,购买4级土地所需契约,★  [a]用途：[/]四档土地租用凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]租用土地[/]标签→点[255:0:255]所有地图下拉列表[/]中的[255:0:255]四档资源采集区[/]→点任意[255:0:255]未开垦的4级土地[/]后面的[255:0:255]租用[/]按钮→租用需[255:0:255]金币和四档土地契约[/]#★  [a]租用后操作：[/]点[255:0:255]私有土地[/]标签查看土地，新买土地为空地，需[255:0:255]建设图纸建设[/]，建设方法见图纸说明#★  [45:238:23]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地购买凭证,57030,57030,57030,3,3,1,0,0,,0,0,,,,,20450,20450,0,205,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80637,【二档】白色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1061,1061,1061,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80638,【二档】红色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1063,1063,1063,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80639,【二档】粉色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1062,1062,1062,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80640,【二档】绿色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1064,1064,1064,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80641,【二档】银色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1066,1066,1066,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80642,【二档】金色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1065,1065,1065,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80643,【二档】七彩蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1059,1059,1059,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80644,【二档】黑色蛋,特殊道具,★  [a]用途：[/]按不同的组合交给“饲养员”后，可以获得相应的奖励#★  [a]获取：[/]怪兽进化活动,特殊道具,1060,1060,1060,2,3,1,0,0,,0,0,,,,,0,0,0,,,,100,,-1,1,,-1,0,,,,,,,,,0,,,,,,
